2022-10-27 13:35:54,731, INFO, ParaLogger, {'threshold': 3.5218517166357453, 'timestep': 22.994994871504886, 'beta': 0.8465882338612426}
2022-10-27 13:57:01,331, INFO, ParaLogger, {'threshold': 0.7424093608062876, 'timestep': 7.506279484701089, 'beta': 0.7924112241827262}
2022-10-27 14:10:10,472, INFO, ParaLogger, {'threshold': 0.5519039108796164, 'timestep': 10.905816978125896, 'beta': 0.22368426480440862}
2022-10-27 14:10:10,472, INFO, ParaLogger, {'threshold': 0.5519039108796164, 'timestep': 10.905816978125896, 'beta': 0.22368426480440862}
2022-10-27 14:25:30,295, INFO, ParaLogger, {'threshold': 0.7031511702193183, 'timestep': 12.934975345704277, 'beta': 0.3968318691946455}
2022-10-27 14:25:30,295, INFO, ParaLogger, {'threshold': 0.7031511702193183, 'timestep': 12.934975345704277, 'beta': 0.3968318691946455}
2022-10-27 14:25:30,295, INFO, ParaLogger, {'threshold': 0.7031511702193183, 'timestep': 12.934975345704277, 'beta': 0.3968318691946455}
2022-10-27 14:34:18,078, INFO, ParaLogger, {'threshold': 1.7964915141294646, 'timestep': 14.61097897829503, 'beta': 0.5021471791252439}
2022-10-27 14:34:18,078, INFO, ParaLogger, {'threshold': 1.7964915141294646, 'timestep': 14.61097897829503, 'beta': 0.5021471791252439}
2022-10-27 14:34:18,078, INFO, ParaLogger, {'threshold': 1.7964915141294646, 'timestep': 14.61097897829503, 'beta': 0.5021471791252439}
2022-10-27 14:34:18,078, INFO, ParaLogger, {'threshold': 1.7964915141294646, 'timestep': 14.61097897829503, 'beta': 0.5021471791252439}
2022-10-27 14:51:01,500, INFO, ParaLogger, {'threshold': 0.8437744737862934, 'timestep': 21.12872334208704, 'beta': 0.13967815539997464}
2022-10-27 15:00:15,536, INFO, ParaLogger, {'threshold': 1.4461228743824712, 'timestep': 19.871980192947987, 'beta': 0.35465208411120464}
2022-10-27 15:09:29,552, INFO, ParaLogger, {'threshold': 4.081079513096384, 'timestep': 20.64737927238454, 'beta': 0.27093762010062283}
2022-10-27 15:18:22,090, INFO, ParaLogger, {'threshold': 1.0872328593558889, 'timestep': 20.274483570169558, 'beta': 0.885015498691176}
2022-10-27 15:27:23,127, INFO, ParaLogger, {'threshold': 2.150840858822365, 'timestep': 15.482123703351155, 'beta': 0.5048257452808228}
2022-10-27 15:36:49,271, INFO, ParaLogger, {'threshold': 3.5182924658312413, 'timestep': 7.697549917296917, 'beta': 0.6884631949038243}
2022-10-27 15:45:21,776, INFO, ParaLogger, {'threshold': 4.597699620284915, 'timestep': 17.220263083597885, 'beta': 0.9931227732626028}
2022-10-27 15:53:41,031, INFO, ParaLogger, {'threshold': 2.7567695783124666, 'timestep': 17.261099244162033, 'beta': 0.4864490651431628}
2022-10-27 16:02:24,888, INFO, ParaLogger, {'threshold': 1.5083848094363024, 'timestep': 19.04684000713768, 'beta': 0.5120056174673857}
2022-10-27 16:10:42,888, INFO, ParaLogger, {'threshold': 1.673216541830147, 'timestep': 23.548255627221366, 'beta': 0.6745497784774256}
2022-10-27 16:19:20,534, INFO, ParaLogger, {'threshold': 1.6370688441293757, 'timestep': 10.216875460191725, 'beta': 0.09840338687978911}
