,0,1,2,3,4,5,6,7,8,9
0,0.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,1.2333333333333334,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.0
4,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
5,0.0,0.03333333333333333,0.0,0.0,0.0,0.7333333333333334,0.0,0.0,0.0,0.0
6,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,1.2,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0333333333333332,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
